step,avg_reward_raw,avg_reward_norm,avg_ee_sum,avg_sum_se,avg_total_power,avg_tau0_selected,avg_r1,avg_r2,avg_K,avg_M,avg_sinr_mean_tx,avg_sinr_db_mean_tx,sinr_db_p10,sinr_db_p50,sinr_db_p90,sinr_db_min,sinr_db_max,avg_log2_mean_tx,avg_se_per_tx_user,avg_interference_mean
224000,12.062515472412109,0.6031257736206054,12.062515472412109,10.483149705648422,0.8669710755348206,0.10267020761966705,0.34247970023751256,0.5316224652528763,6.0,0.0,7760.023386484623,24.66723139298535,-16.418724060058594,14.858819007873535,31.435096740722656,-118.58000183105469,75.02423095703125,3.8092722185850145,3.418097147504489,4.901019489919455e-10
232000,12.090743476867676,0.6045371738433838,12.090743476867676,10.457562580823899,0.8637596964836121,0.1026417538523674,0.5150279171168805,0.5469633641242981,6.0,0.0,11488.228777684211,24.035461367804817,-16.336063385009766,14.637297630310059,30.738079071044922,-117.2236557006836,71.25090026855469,3.7841948078870775,3.395671121716499,6.039741209995859e-10
240000,12.194777379989624,0.6097388689994812,12.194777379989624,10.494809356451034,0.8599812984466553,0.10213202238082886,0.555595470815897,0.5287713200449944,6.0,0.0,7218.098781443596,24.20397680387336,-17.050857543945312,14.929817199707031,30.752737045288086,-119.22116088867188,74.65608978271484,3.787225572705269,3.400484753012657,7.794558559628244e-10
248000,12.375571559906005,0.6187785779953003,12.375571559906005,10.742610086202621,0.8665025234222412,0.10190065205097198,0.42252217450737956,0.3821868796944618,6.0,0.0,10170.746579547405,24.150572950065968,-16.653667449951172,14.724098205566406,31.09132957458496,-119.97279357910156,73.55558776855469,3.8674057916402815,3.473246125777562,7.753558124690886e-10
256000,12.448018136501313,0.6224009068250657,12.448018136501313,10.779938005924224,0.8639477491378784,0.10159040987491608,0.3179443070590496,0.4306294297277927,6.0,0.0,3398.8189879574775,23.7909682267921,-16.957950592041016,14.728065490722656,30.710956573486328,-119.90455627441406,76.3963623046875,3.875493403315544,3.4817145850261055,6.610655661277437e-10
264000,12.360598102092743,0.6180299051046372,12.360598102092743,10.647048508882522,0.860047459602356,0.10133291780948639,0.46221112909913065,0.5103775796592236,6.0,0.0,20131.287184796332,24.80460420770632,-16.863489151000977,14.637795448303223,31.019262313842773,-118.48831176757812,76.74372863769531,3.855127018928528,3.4644832161267596,5.306569253819384e-10
272000,12.284491284370421,0.6142245642185211,12.284491284370421,10.609851904153825,0.861993670463562,0.10144498944282532,0.3257533755302429,0.5826354335844517,6.0,0.0,7716.91317931509,24.299911907459336,-17.354528427124023,14.998678207397461,30.607004165649414,-119.68502807617188,68.92727661132812,3.826354733943939,3.4381912654240923,6.89680551559643e-10
280000,12.028938880443572,0.6014469440221787,12.028938880443572,10.359341074228286,0.860079288482666,0.10131815075874329,0.6483267476260662,0.6672028273940086,6.0,0.0,15481.464965461731,24.462036506971135,-17.288410186767578,14.410834312438965,31.07293701171875,-119.90896606445312,74.6773681640625,3.755300482273102,3.374836904565493,5.123740179871301e-10
288000,11.981631056547165,0.5990815528273582,11.981631056547165,10.333752259016038,0.8617854714393616,0.10113418847322464,0.6245083401799202,0.6737118375897407,6.0,0.0,10879.135063610793,24.61911926459795,-17.241565704345703,15.196281433105469,30.38188934326172,-114.06300354003906,70.11986541748047,3.775104817867279,3.3932991232872007,5.019545139138351e-10
296000,12.247879637718201,0.6123939818859101,12.247879637718201,10.575169137716294,0.8621949553489685,0.10105206072330475,0.6395958564281463,0.47076689937710764,6.0,0.0,12393.853501015186,24.807508030063108,-17.294872283935547,14.894783020019531,31.100566864013672,-110.86018371582031,75.36185455322266,3.842169756770134,3.4538893436590827,4.724488825839183e-10
304000,12.505684143066405,0.6252842071533202,12.505684143066405,10.744886937618256,0.856855571269989,0.10100390762090683,0.3058153654336929,0.2873587948977947,6.0,0.0,24747.788367362977,24.503076716762497,-17.671091079711914,15.497398376464844,30.573148727416992,-109.46171569824219,79.15642547607422,3.8380747433900835,3.4503918244441354,8.312298381037342e-10
312000,12.260173187017442,0.613008659350872,12.260173187017442,10.563517823457717,0.8602171540260315,0.10095521807670593,0.33800365713238717,0.602442119717598,6.0,0.0,12121.588960333585,24.332959740155058,-17.3425235748291,14.529877662658691,30.787019729614258,-117.25556182861328,70.91363525390625,3.808907642483711,3.424381877223651,5.044682628047307e-10
320000,12.488477458000183,0.6244238729000092,12.488477458000183,10.767397879600525,0.8605015277862549,0.10095242410898209,0.3619950725734234,0.47367834597826003,6.0,0.0,3548.5045620280503,23.588335596115108,-18.298227310180664,15.26054859161377,30.47916030883789,-119.79435729980469,76.28819274902344,3.8475924242138864,3.4591229712168374,7.377168867456891e-10
